Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, regex-redux,-1,22.48974609,15.7979126,0,1.981323242,715,27.8,152136
C, regex-redux,-1,22.61065674,15.8717041,0,1.987609863,716,31,152172
C, regex-redux,-1,22.41992188,15.73724365,0,1.984680176,715,27.2,152208
C, regex-redux,-1,22.54760742,15.86645508,0,1.981750488,714,31.8,152172
C, regex-redux,-1,22.50323486,15.80297852,0,1.983276367,715,27.5,152172
C, regex-redux,-1,22.52325439,15.82208252,0,1.979492188,714,31.5,152088
C, regex-redux,-1,22.55499268,15.83569336,0,1.989440918,718,27.8,152252
C, reverse-complement,-1,2.217346191,1.292114258,0,0.370422363,93,27.5,127168
C, reverse-complement,-1,2.240539551,1.309143066,0,0.375488281,93,27.5,127168
C, reverse-complement,-1,2.242431641,1.30871582,0,0.369750977,93,27.5,127556
C, reverse-complement,-1,2.254394531,1.314880371,0,0.374938965,93,27.5,127072
C, reverse-complement,-1,2.244628906,1.316650391,0,0.374633789,93,27.5,127520
C, reverse-complement,-1,2.24041748,1.304504395,0,0.374206543,93,27.5,127204
C, reverse-complement,-1,2.234924316,1.307189941,0,0.364746094,92,27.5,127304
C, reverse-complement,-1,2.259765625,1.336242676,0,0.374633789,93,27.5,127300
C, reverse-complement,-1,2.243774414,1.312072754,0,0.371520996,93,27.5,127304
